Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments,
Claw,3:19,3:51,GOPR0212,Control_Side,
Breath,3:51,17:34,,,
Breath,0:00,17:34,GP010212,,
Breath,0:00,2:44,GP020212,,
Sit,2:44,2:55,,,
Claw,2:55,4:06,,,
Pace,4:06,4:31,,ZM_Side,
Smelled_ZM,4:31,4:38,,,
Bit_At_ZM,4:38,4:55,,,
Ate_ZM,4:55,5:57,,,
Bit_At_ZM,5:57,6:06,,,
Breath,6:06,14:20,,,
Smelled_ZM,14:20,16:42,,,
Breath,16:42,17:34,,,
Breath,0:00,1:50,GP030212,,
Smelled_ZM,1:50,2:36,,,
Breath,2:36,2:40,,,
Smelled_ZM,2:40,3:31,,,
Breath,3:31,5:28,,,
Sit,5:28,5:40,,,
Ate_ZM,5:40,7:27,,,
Bit_At_ZM,7:27,7:44,,,
Breath,7:44,8:36,,,
Smelled_ZM,8:36,9:05,,,
Breath,9:05,9:53,,,
Smelled_ZM,9:53,10:08,,,
Breath,10:08,11:11,,,
Smelled_ZM,11:11,12:57,,,
Breath,12:57,13:16,,,
Bit_At_ZM,13:16,14:09,,,
Pace,14:09,15:54,,,
Breath,15:54,16:23,,,
Bit_At_ZM,16:23,16:35,,,
Breath,16:35,17:01,,,
Pace,17:01,17:34,,,
Pace,0:00,0:10,GP040212,,
Breath,0:10,1:55,,,
Pace,1:55,2:06,,Control_Side,
Bit_At_ZM,2:06,2:21,,,
Breath,2:21,2:27,,,
Bit_At_ZM,2:27,3:15,,,
Breath_Claw,3:15,6:55,,,
Breath,6:55,7:15,,,
Bit_At_ZM,7:15,7:29,,,
Breath_Claw,7:29,8:20,,,
Ate_Snail,8:20,8:32,,,
Breath,8:32,17:34,,,
Breath,0:00,17:34,GP050212,,
Breath,0:00,17:34,GP060212,,
Breath,0:00,4:02,GP070212,END,This turtle was not very active
