Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Sit,8:04,9:30,GOPR0248,ZM_Side
Breath,9:30,10:09,,
Sit,10:09,10:49,,
Breath,10:49,11:23,,
Pace,11:23,11:47,,
Breath,11:47,12:27,,
Pace,12:27,13:14,,
Breath,13:14,14:26,,
Pace,14:26,14:41,,
Breath,14:41,15:45,,
Sit,15:45,16:04,,
Breath,16:04,16:25,,
Pace,16:25,16:34,,
Breath,16:34,16:50,,
Pace,16:50,17:19,,
Breath,17:19,17:40,,
Pace,17:40,17:53,,
Breath,17:53,18:01,,
Breath_Claw,18:01,25:06:00,,
Breath,25:06:00,25:18:00,,
Breath_Claw,25:18:00,32:38:00,,
Breath,32:38:00,32:44:00,,
Breath_Claw,32:44:00,34:08:00,,
Breath,34:08:00,34:15:00,,
Breath_Claw,34:15:00,34:42:00,,
Breath_Claw,0:00,3:55,GO010248,
Breath,3:55,4:10,,
Breath_Claw,4:10,5:41,,
Breath,5:41,6:06,,
Sit,6:06,6:15,,
Breath,6:15,6:30,,
Breath_Claw,6:30,7:22,,
Breath,7:22,7:34,,
Breath_Claw,7:34,10:36,,
Breath,10:36,11:06,,
Breath_Claw,11:06,11:48,,
Breath,11:48,12:10,,
Breath_Claw,12:10,14:44,,
Breath,14:44,14:58,,
Breath_Claw,14:58,15:20,,
Sit,15:20,26:43:00,,
Breath,26:43:00,31:21:00,,
Sit,31:21:00,33:05:00,,
Breath,33:05:00,34:27:00,,
Pace,34:27:00,34:36:00,,
Breath,34:36:00,34:42:00,,
Breath,0:00,1:01,GO020248,
Pace,1:01,1:05,,
Breath,1:05,1:41,,
Pace,1:41,1:45,,
Breath,1:45,2:02,,
Pace,2:02,2:06,,
Breath,2:06,7:47,,
Breath_Claw,7:47,10:46,,
Breath,10:46,10:55,,
Breath_Claw,10:55,15:34,,
Breath,15:34,15:51,,
Breath_Claw,15:51,17:41,,
Bit_At_ZM,17:41,18:04,,
Breath,18:04,18:15,,
Pace,18:15,18:19,,
Ate_Snail,18:19,18:32,,
Smelled_ZM,18:32,18:36,,
Breath,18:36,19:05,,
Breath_Claw,19:05,19:31,,
Smelled_ZM,19:31,19:53,,
Breath,19:53,22:58,,
Pace,22:58,23:02,,
Breath_Claw,23:02,23:40,,
Breath,23:40,23:55,,
Breath_Claw,23:55,25:05:00,,
Breath,25:05:00,26:27:00,,
Claw,26:27:00,27:01:00,,
Breath,27:01:00,27:13:00,,
Pace,27:13:00,27:23:00,,
Breath,27:23:00,28:19:00,,
Pace,28:19:00,28:26:00,,
Breath,28:26:00,28:36:00,,
Pace,28:36:00,28:44:00,,
Breath,28:44:00,28:51:00,,
Claw,28:51:00,29:29:00,,
Breath,29:29:00,30:02:00,,
Breath_Claw,30:02:00,31:41:00,,
Breath,31:41:00,31:57:00,,
Claw,31:57:00,32:26:00,,
Breath,32:26:00,33:44:00,,
Breath_Claw,33:44:00,34:29:00,,
Breath,34:29:00,34:42:00,,
Breath,0:00,2:29,GO030248,
Breath_Claw,2:29,3:23,,
Breath,3:23,3:32,,
Claw,3:32,3:42,,
Breath,3:42,4:39,,
Claw,4:39,5:09,,
Breath,5:09,5:37,,
Claw,5:37,5:55,,
Breath,5:55,6:54,,
Claw,6:54,7:19,,
Breath,7:19,11:02,,
Sit,11:02,11:15,,
Breath,11:15,11:23,,
Claw,11:23,11:40,,
Breath,11:40,14:23,,
Sit,14:23,14:35,,
Breath,14:35,14:53,,
Pace,14:53,15:01,,
Bit_At_ZM,15:01,15:48,,
Breath,15:48,15:54,,END
